image,coordinate1,coordinate2
1708123166276.jpg,"(257, 74)","(275, 100)"
1708123166314.jpg,"(200, 140)","(214, 158)"
1708123166505.jpg,"(203, 137)","(223, 162)"
1708123166667.jpg,"(128, 114)","(144, 133)"
1708123166728.jpg,"(260, 159)","(278, 176)"
1708123166887.jpg,"(55, 108)","(72, 129)"
1708123167019.jpg,"(164, 110)","(187, 138)"
1708123167035.jpg,"(224, 158)","(235, 173)"
1708123167144.jpg,"(35, 84)","(63, 115)"
1708123167569.jpg,"(104, 93)","(119, 114)"
1708123167626.jpg,"(243, 122)","(270, 151)"
1708123167790.jpg,"(277, 155)","(291, 173)"
1708123167989.jpg,"(255, 143)","(273, 161)"
1708123168660.jpg,"(253, 44)","(279, 83)"
1708123168868.jpg,"(167, 79)","(209, 129)"
1708123169195.jpg,"(207, 48)","(271, 113)"
1708123169397.jpg,"(109, 114)","(129, 141)"
1708123169434.jpg,"(53, 130)","(67, 145)"
1708123169583.jpg,"(180, 86)","(221, 135)"
1708123169757.jpg,"(23, 138)","(38, 158)"
1708123169794.jpg,"(176, 125)","(198, 144)"
1708123169999.jpg,"(46, 109)","(64, 131)"
1708123170017.jpg,"(44, 131)","(57, 149)"
1708123170166.jpg,"(65, 129)","(85, 156)"
1708123170189.jpg,"(196, 137)","(226, 171)"
1708123170561.jpg,"(191, 101)","(207, 119)"
1708123171135.jpg,"(179, 109)","(193, 126)"
1708123171247.jpg,"(220, 124)","(236, 140)"
1708123171889.jpg,"(186, 125)","(200, 141)"
1708123172376.jpg,"(201, 127)","(219, 142)"
1708123172416.jpg,"(214, 111)","(232, 130)"
1708123172548.jpg,"(235, 130)","(252, 148)"
1708123190725.jpg,"(137, 106)","(155, 123)"
1708123190861.jpg,"(248, 129)","(263, 150)"
1708123190867.jpg,"(241, 130)","(257, 152)"
1708123190876.jpg,"(227, 100)","(259, 132)"
1708123190888.jpg,"(265, 134)","(291, 165)"
1708123190907.jpg,"(264, 138)","(282, 158)"
1708123191004.jpg,"(36, 131)","(50, 149)"
1708123191165.jpg,"(154, 93)","(178, 125)"
1708123191176.jpg,"(229, 102)","(253, 127)"
1708123191199.jpg,"(240, 85)","(291, 130)"
1708123191239.jpg,"(201, 105)","(225, 128)"
1708123191361.jpg,"(167, 109)","(199, 145)"
1708123191367.jpg,"(48, 140)","(64, 157)"
1708123191371.jpg,"(230, 96)","(256, 127)"
1708123191375.jpg,"(66, 111)","(84, 131)"
1708123191398.jpg,"(239, 92)","(267, 124)"
1708123191404.jpg,"(103, 100)","(127, 135)"
1708123191410.jpg,"(49, 142)","(67, 165)"
1708123191417.jpg,"(223, 110)","(247, 138)"
1708123191439.jpg,"(242, 92)","(262, 114)"
1708123191834.jpg,"(151, 135)","(166, 149)"
1708123191990.jpg,"(222, 82)","(252, 141)"
1708123192047.jpg,"(81, 85)","(99, 106)"
1708123192051.jpg,"(126, 113)","(147, 139)"
1708123192078.jpg,"(32, 147)","(47, 165)"
1708123192087.jpg,"(211, 144)","(227, 164)"
1708123192094.jpg,"(192, 111)","(218, 139)"
1708123192122.jpg,"(181, 116)","(205, 143)"
1708123192252.jpg,"(221, 114)","(230, 127)"
1708123192331.jpg,"(264, 74)","(289, 103)"
1708123192454.jpg,"(255, 113)","(266, 128)"
1708123192494.jpg,"(247, 106)","(259, 121)"
1708123192535.jpg,"(183, 144)","(195, 155)"
1708123193010.jpg,"(234, 103)","(246, 117)"
1708123193172.jpg,"(245, 150)","(260, 163)"
1708123193210.jpg,"(220, 155)","(229, 166)"
1708123193377.jpg,"(171, 130)","(181, 147)"
1708123193764.jpg,"(183, 130)","(196, 144)"
1708123194018.jpg,"(198, 125)","(210, 137)"
1708123205579.jpg,"(67, 155)","(85, 174)"
1708123205592.jpg,"(138, 104)","(154, 125)"
1708123205624.jpg,"(57, 107)","(72, 120)"
1708123205743.jpg,"(105, 80)","(121, 99)"
